ID,name,price,storage,type
2018,Dresses,300,23,All season
2002,Hats,450,39,All season
2028,Jackets,550,21,All season
2007,Shirts,200,17,Summer
2024,Socks,500,35,All season
2029,Sports uniforms,350,1,All season
2014,Sweatpants,250,46,Winter
2027,Sweatshirts,400,57,Winter
2046,Underwear,450,19,All season
2016,Shorts,550,47,Summer
2048,Pants,250,54,All season
2012,Skirts,500,27,All season
2049,Swimsuit,300,28,Summer
2020,Bikini,200,65,Summer
2042,Bathrobe,400,45,All season
2009,Sunglasses,350,64,Summer
2005,Swim-shirts,400,66,Summer
2038,Pajamas,350,50,All season
2010,Baseball hats ,250,62,All season
2035,Down Jacket ,450,8,Winter
2045,Full length grey wool coat ,200,43,Winter
2022,Crop top,300,58,Summer
2004,Full length lined trench coat ,500,29,Winter
2041,Full length lined rain coat ,550,22,All season
2030,Red leather jacket,400,33,All season
2003,Ski bibs,450,9,Winter
2026,Ski pants ,550,7,Winter
2036,Ski suit one piece,250,15,Winter
2031,Ski gloves,500,20,Winter
2043,Driving gloves,300,16,All season
2044,Leather gloves,200,52,All season
2013,Ear muffs-polyester,450,31,Winter
2008,Ear muffs-cotton,550,25,Winter
2050,Ear muffs-double layer,200,63,Winter
2017,Full length down coat-fur hood,500,4,Winter
2021,Full length down coat-grey,350,67,Winter
2047,Low hiking boots,400,5,All season
2023,Tall hiking boots,350,30,All season
2032,Jacket - blue hood,250,3,All season
2011,Jacket - pink zip,450,48,All season
2033,Golf pants ,200,14,All season
2040,Golf shirts,300,69,All season
2001,Golf gloves,500,60,All season
2019,Berets,550,32,Winter
2037,Bucket hat,400,44,Summer
2025,Straw hat,450,24,Summer
2015,Nightgown,550,49,All season
2006,Scarf,250,34,Winter
2034,Wool sweater,350,37,Winter
2039,Bra top,400,40,Summer
2053,Boxers,200,16,All season
2052,Y-fronts,250,6,All season
2051,Blouse,450,23,All season
2057,Brief,550,26,All season
2054,Beanie,250,10,Winter
2056,Swimming trunks,500,17,Summer
2055,Men's Western Hat,450,12,All season